year,ASON_avg,siteID,ASON_max
1993,161.00236848,deshka,248.13827742
1994,85.532813973,deshka,130.62764666
1995,69.644189179,deshka,117.7949971
1996,81.330170473,deshka,116.06203834
1997,83.885995135,deshka,135.59797627
1998,76.872128872,deshka,139.38334049
1999,93.918433876,deshka,129.22174484
2000,90.553893978,deshka,126.61910652
2001,54.081497674,deshka,63.148057676
2002,115.33160703,deshka,156.1621014
2003,103.77500319,deshka,129.48071905
2004,122.66180054,deshka,201.30123472
2005,106.75346977,deshka,221.21949453
2006,110.26170022,deshka,210.95845867
2007,99.386473618,deshka,179.05810833
2008,77.370189858,deshka,106.90471683
2009,72.484117417,deshka,86.685580693
2010,86.5385376,deshka,131.84580292
1980,163.21427787,kenai_lat,170.21574562
1981,191.88575792,kenai_lat,225.00608544
1982,170.67790234,kenai_lat,300.46598094
1983,172.42333068,kenai_lat,192.67142731
1984,119.94361557,kenai_lat,171.96758778
1985,120.72642442,kenai_lat,221.22923893
1986,208.10428106,kenai_lat,204.22893547
1987,178.6941736,kenai_lat,221.64746706
1988,151.62572303,kenai_lat,173.0136052
1989,198.33498344,kenai_lat,254.41273234
1990,178.42496431,kenai_lat,368.15306115
1991,150.18958898,kenai_lat,203.49863969
1992,150.50224173,kenai_lat,207.77194137
1993,210.63748005,kenai_lat,278.52851626
1994,141.20632418,kenai_lat,203.68719105
1995,120.67156061,kenai_lat,224.35689952
1996,122.85202322,kenai_lat,157.17075649
1997,160.63222367,kenai_lat,184.7185328
1998,125.5591473,kenai_lat,155.72380265
1999,177.42909325,kenai_lat,221.17605195
2000,143.68289588,kenai_lat,196.00735232
2001,87.152260193,kenai_lat,84.07598758
2002,211.60909954,kenai_lat,251.86943319
2003,167.73586394,kenai_lat,190.9240505
2004,198.36274577,kenai_lat,365.0615443
2005,153.73042075,kenai_lat,305.1928581
2006,153.5744139,kenai_lat,266.98491689
2007,180.80928514,kenai_lat,248.75822026
2008,134.73757767,kenai_lat,207.4609677
2009,130.70229933,kenai_lat,148.13586216
2010,142.50517583,kenai_lat,209.23374834
1980,73.30096572,little_su,104.31646696
1981,99.253634534,little_su,171.1233295
1982,90.151905712,little_su,152.15000004
1983,84.067061368,little_su,137.89902903
1984,60.671996344,little_su,126.06493956
1985,78.929162444,little_su,139.58739651
1986,107.80749391,little_su,121.52957564
1987,72.798361052,little_su,93.303896805
1988,80.553167379,little_su,123.71033726
1989,108.41748933,little_su,142.34069445
1990,95.135196806,little_su,192.97907588
1991,76.013136548,little_su,105.21641792
1992,81.681258673,little_su,99.994452402
1993,126.49079943,little_su,173.83718418
1994,65.879582419,little_su,87.596320457
1995,61.173650174,little_su,102.26534768
1996,69.934913132,little_su,106.89576001
1997,77.676474653,little_su,145.87854563
1998,61.263841413,little_su,129.50360117
1999,86.478422495,little_su,137.42142317
2000,70.013735066,little_su,94.531316023
2001,41.652123341,little_su,51.8097486
2002,102.86454541,little_su,130.03552249
2003,88.470327796,little_su,99.986828567
2004,102.48123848,little_su,181.76207637
2005,85.644686075,little_su,163.75674561
2006,101.37951476,little_su,224.80056834
2007,81.574408017,little_su,139.63666505
2008,64.496590795,little_su,93.448564909
2009,61.859015564,little_su,95.566538658
2010,70.945544293,little_su,110.60826938
1980,81.146979726,little_wi,114.36753114
1981,112.39141941,little_wi,188.15469465
1982,105.70005028,little_wi,180.27020954
1983,95.706546382,little_wi,157.89624402
1984,67.783546644,little_wi,141.2898075
1985,94.677188267,little_wi,172.17988919
1986,125.98149825,little_wi,137.56685271
1987,84.140331446,little_wi,109.04088807
1988,91.51390016,little_wi,135.73217484
1989,126.13538609,little_wi,164.07182911
1990,112.35956357,little_wi,224.29882201
1991,85.167982908,little_wi,114.83285353
1992,96.065379341,little_wi,110.74640033
1993,151.48680223,little_wi,215.18142861
1994,78.727156296,little_wi,115.13803817
1995,69.607746143,little_wi,118.0513199
1996,81.366947072,little_wi,124.14323121
1997,87.494396965,little_wi,162.82007547
1998,71.022241886,little_wi,147.40818345
1999,95.955754735,little_wi,151.10327251
2000,83.574841963,little_wi,111.41640109
2001,47.919580539,little_wi,61.918062327
2002,115.47469153,little_wi,146.18810507
2003,103.19404932,little_wi,123.15681456
2004,120.91016737,little_wi,202.73932956
2005,100.75686478,little_wi,197.72044981
2006,113.84061768,little_wi,249.88320688
2007,94.451203046,little_wi,165.04939084
2008,74.448209786,little_wi,105.6386571
2009,69.975972826,little_wi,105.19524165
2010,84.136720046,little_wi,124.84620719
1980,121.83259951,montana,165.77678909
1981,167.86306616,montana,262.38330422
1982,167.92260365,montana,311.53613412
1983,148.64039307,montana,229.22292524
1984,101.33133613,montana,202.10747041
1985,157.50054799,montana,316.74424096
1986,200.14974179,montana,217.17391235
1987,130.85561867,montana,188.6547449
1988,139.80599804,montana,187.96029704
1989,198.46220959,montana,251.44288108
1990,180.28926102,montana,375.01290918
1991,126.77345499,montana,170.9410551
1992,145.77484855,montana,161.83631768
1993,243.75570905,montana,394.5066016
1994,120.46230975,montana,162.81817073
1995,110.89204996,montana,199.80560345
1996,125.96903425,montana,184.47777529
1997,128.41699989,montana,226.83836793
1998,115.24767606,montana,213.46831245
1999,145.33004653,montana,207.40081539
2000,132.85545282,montana,194.23599663
2001,77.214127605,montana,97.428851294
2002,178.51760806,montana,249.76445245
2003,154.88635103,montana,171.34615039
2004,186.64069043,montana,322.76161937
2005,161.46763055,montana,353.7531489
2006,171.77363169,montana,346.66458218
2007,147.25734728,montana,286.10129521
2008,117.04404676,montana,172.93644624
2009,103.83620217,montana,144.63773091
2010,124.97346017,montana,174.03565128
1980,70.176659977,ninilchik,73.364996958
1981,77.492021419,ninilchik,95.293666511
1982,71.998732196,ninilchik,137.05106723
1983,75.446056445,ninilchik,96.595886321
1984,52.290305208,ninilchik,79.714862563
1985,58.177007239,ninilchik,98.172212029
1986,90.41941057,ninilchik,96.252190542
1987,77.586495419,ninilchik,103.15226035
1988,63.085220031,ninilchik,79.714718805
1989,84.375104027,ninilchik,111.46232254
1990,77.322658165,ninilchik,142.92618654
1991,62.891375341,ninilchik,86.979779569
1992,60.67778263,ninilchik,84.022237851
1993,89.041476762,ninilchik,122.19192444
1994,61.202392906,ninilchik,80.396746389
1995,55.808399178,ninilchik,96.663957613
1996,51.067604959,ninilchik,74.451493011
1997,69.440493405,ninilchik,87.842130418
1998,65.986617227,ninilchik,80.667270559
1999,76.543239628,ninilchik,100.48173561
2000,62.689077915,ninilchik,86.488630255
2001,42.931920751,ninilchik,39.682531521
2002,90.118793227,ninilchik,113.25596549
2003,66.344066167,ninilchik,66.350674751
2004,80.568493625,ninilchik,149.52798783
2005,68.003487709,ninilchik,141.89007414
2006,65.953355104,ninilchik,116.50111242
2007,79.434359814,ninilchik,110.72165671
2008,57.841582743,ninilchik,90.936413049
2009,55.845987212,ninilchik,60.264172857
2010,60.128752847,ninilchik,72.067968736
1980,126.00985828,theodore,147.24477539
1981,164.60480216,theodore,228.21933363
1982,164.19377391,theodore,282.76423753
1983,146.34045251,theodore,188.70252331
1984,98.210645804,theodore,177.96954823
1985,140.36639301,theodore,255.92238996
1986,189.42152779,theodore,197.62601789
1987,136.49184228,theodore,181.34591034
1988,132.36057787,theodore,172.89256984
1989,186.71084939,theodore,224.65496845
1990,165.4270614,theodore,321.55411333
1991,127.89478836,theodore,160.2703178
1992,136.23635871,theodore,146.91544099
1993,215.3115453,theodore,316.09709916
1994,119.58932727,theodore,162.27310202
1995,103.2014221,theodore,173.11434354
1996,113.69058684,theodore,152.32020428
1997,124.89329861,theodore,187.90924737
1998,111.44519204,theodore,191.54118492
1999,145.67658777,theodore,186.43038585
2000,124.97836334,theodore,174.09018237
2001,81.318032785,theodore,80.337221508
2002,176.61747627,theodore,223.84460721
2003,146.94184611,theodore,154.33504528
2004,172.86846746,theodore,310.8584423
2005,149.05356968,theodore,301.16567722
2006,160.99483492,theodore,296.85731394
2007,146.53240145,theodore,249.35974692
2008,113.73037841,theodore,164.98704564
2009,109.12906946,theodore,122.8335781
2010,119.20323177,theodore,156.19132226
1980,89.628715099,willow,120.76911143
1981,124.17964035,willow,200.31640942
1982,115.10832632,willow,191.22014512
1983,104.12057004,willow,164.83025079
1984,73.472487034,willow,147.75237357
1985,99.602313695,willow,180.02222795
1986,137.89165787,willow,143.50040446
1987,92.794902998,willow,115.47179962
1988,100.88488344,willow,143.53735494
1989,137.49531852,willow,171.19120549
1990,121.1714369,willow,243.2004232
1991,94.239569288,willow,121.91651793
1992,105.98222916,willow,123.85296092
1993,163.5613606,willow,225.06553389
1994,86.433471015,willow,129.62955626
1995,75.019677821,willow,127.68875454
1996,88.770381292,willow,128.20307477
1997,96.151707135,willow,173.3675791
1998,74.367809533,willow,152.64801421
1999,105.57006326,willow,160.50058788
2000,90.6269131,willow,118.67525627
2001,51.836614123,willow,62.311426671
2002,127.43755897,willow,155.20778397
2003,114.75829974,willow,140.37877326
2004,133.87756492,willow,222.77238164
2005,108.36449605,willow,208.373289
2006,123.78423409,willow,265.37138344
2007,102.77444719,willow,176.16935757
2008,82.073767338,willow,114.83710647
2009,77.074277751,willow,112.26952805
2010,92.018089531,willow,142.09177476
