year,MJJA_avg,siteID,MJJA_max
1988,43.562181654,deep,87.814348642
1989,53.674686526,deep,82.084641132
1990,43.772524181,deep,65.511693172
1991,43.690557286,deep,64.642189146
1992,38.666961817,deep,74.932501903
1993,40.248488671,deep,93.413898401
1994,32.961518107,deep,37.745607918
1995,53.210894541,deep,75.830834252
1996,31.896482397,deep,56.880579524
1997,41.745969746,deep,81.513916712
1998,57.959924243,deep,77.899523511
1999,46.181669677,deep,83.514472439
2000,33.905097296,deep,59.528269236
2001,38.242732005,deep,91.848776981
2002,39.603628045,deep,81.885637103
2003,46.635050255,deep,71.64575975
2004,24.876888018,deep,36.900669935
2005,31.394401912,deep,50.938746369
2006,53.608862499,deep,126.09381793
2007,29.599271604,deep,39.80113597
2008,37.642734856,deep,61.636371827
2009,32.993180486,deep,57.168134562
2010,47.060765096,deep,79.266869301
1980,105.49782763,deshka,140.58272315
1981,117.99845585,deshka,180.74689205
1982,77.761648458,deshka,119.90843872
1983,66.660769838,deshka,141.11963025
1984,75.914129429,deshka,122.80831289
1985,74.162975613,deshka,114.45072024
1986,79.50305785,deshka,136.22080701
1987,65.16592803,deshka,106.71615807
1988,73.153511501,deshka,115.76316155
1989,99.364822835,deshka,143.46133366
1990,69.84044916,deshka,104.27510887
1991,64.165420173,deshka,106.84457018
1992,63.528415731,deshka,91.029227316
1993,73.649758003,deshka,155.58226122
1994,59.888963903,deshka,85.447579947
1995,87.892159751,deshka,126.34525456
1996,69.056848889,deshka,116.06203834
1997,70.131519133,deshka,135.59797627
1998,104.12573926,deshka,139.38334049
1999,92.241711615,deshka,129.22174484
2000,67.15786621,deshka,107.80590819
2001,71.786065201,deshka,185.66597895
2002,69.108295524,deshka,123.12409819
2003,80.060566269,deshka,106.82377903
2004,51.452933936,deshka,63.163645015
2005,55.308827848,deshka,93.894826602
2006,98.72227006,deshka,210.95845867
2007,67.95691127,deshka,103.63706381
2008,62.132189835,deshka,102.81873465
2009,53.628811231,deshka,86.685580693
2010,82.068059473,deshka,124.53466725
1980,122.25182573,kenai_lat,140.35075603
1981,131.05517649,kenai_lat,225.00608544
1982,67.02729633,kenai_lat,79.900175932
1983,69.333564935,kenai_lat,148.2314747
1984,84.593161332,kenai_lat,169.96347996
1985,95.418931603,kenai_lat,146.14087607
1986,83.548069495,kenai_lat,156.10232927
1987,64.070452712,kenai_lat,76.850721513
1988,83.408260397,kenai_lat,173.0136052
1989,110.78694547,kenai_lat,160.0030797
1990,77.175811161,kenai_lat,117.88313096
1991,83.875388736,kenai_lat,135.35699606
1992,72.714371034,kenai_lat,142.31660476
1993,82.138886803,kenai_lat,191.03756335
1994,61.272376809,kenai_lat,77.809121879
1995,101.03175865,kenai_lat,131.75930615
1996,62.435391176,kenai_lat,115.75646924
1997,90.0540446,kenai_lat,178.340605
1998,112.4211895,kenai_lat,155.72380265
1999,96.859007656,kenai_lat,172.37635023
2000,67.349360402,kenai_lat,97.975510641
2001,71.059367779,kenai_lat,173.61753527
2002,75.711687898,kenai_lat,165.89432175
2003,83.258011096,kenai_lat,131.62527575
2004,49.78996867,kenai_lat,78.523640533
2005,61.745737227,kenai_lat,114.55345001
2006,112.20832516,kenai_lat,266.98491689
2007,59.665489967,kenai_lat,84.700900822
2008,69.458044096,kenai_lat,109.76899704
2009,66.473536668,kenai_lat,121.13632177
2010,89.121499597,kenai_lat,135.76162157
1980,89.619197427,little_su,104.31646696
1981,104.68101322,little_su,171.1233295
1982,61.735137631,little_su,95.03511822
1983,57.882529666,little_su,137.89902903
1984,66.251058873,little_su,126.06493956
1985,65.831627225,little_su,119.08594519
1986,67.128230134,little_su,121.52957564
1987,52.771189637,little_su,78.703120544
1988,62.648851363,little_su,123.71033726
1989,88.613143166,little_su,142.34069445
1990,55.448010005,little_su,94.043316164
1991,59.116305922,little_su,105.21641792
1992,54.034676102,little_su,99.994452402
1993,65.050252074,little_su,158.26609842
1994,44.756481011,little_su,60.985617694
1995,75.798959179,little_su,108.47163606
1996,55.814529405,little_su,106.89576001
1997,67.602221188,little_su,145.87854563
1998,83.429981065,little_su,129.50360117
1999,79.819385351,little_su,137.42142317
2000,56.934147307,little_su,88.090048095
2001,63.481400454,little_su,172.57295312
2002,60.926725281,little_su,130.03552249
2003,61.84594934,little_su,99.986828567
2004,41.424320007,little_su,59.610167542
2005,48.583367525,little_su,102.92759423
2006,90.785886403,little_su,224.80056834
2007,54.338806018,little_su,82.355715791
2008,51.052404567,little_su,96.527669208
2009,50.141345591,little_su,95.566538658
2010,71.277024273,little_su,112.09412563
1980,106.86734457,little_wi,125.58901823
1981,123.60424019,little_wi,188.15469465
1982,76.14891749,little_wi,117.62553244
1983,68.94930646,little_wi,157.89624402
1984,78.46184301,little_wi,141.2898075
1985,76.691786843,little_wi,132.58996623
1986,80.183173452,little_wi,137.56685271
1987,64.573031512,little_wi,98.935332189
1988,74.22508971,little_wi,135.73217484
1989,104.36101969,little_wi,164.07182911
1990,68.079229593,little_wi,109.95303733
1991,67.548948535,little_wi,114.83285353
1992,63.366105534,little_wi,108.52081032
1993,76.157113987,little_wi,177.94298453
1994,54.848815172,little_wi,73.550737143
1995,89.579915259,little_wi,128.97005534
1996,67.797411361,little_wi,124.14323121
1997,77.428470882,little_wi,162.82007547
1998,100.87741102,little_wi,147.40818345
1999,94.415360933,little_wi,151.10327251
2000,68.156244077,little_wi,104.83699776
2001,75.690895258,little_wi,204.53680771
2002,72.715980586,little_wi,146.18810507
2003,74.781814547,little_wi,112.41284827
2004,49.979232947,little_wi,72.642714559
2005,56.043531721,little_wi,112.91968635
2006,105.84401354,little_wi,249.88320688
2007,65.335949504,little_wi,95.874190445
2008,60.633673129,little_wi,110.28086857
2009,57.376822222,little_wi,105.19524165
2010,84.075957618,little_wi,130.81664487
1980,168.61794624,montana,224.17647436
1981,196.5480187,montana,315.16598444
1982,125.86871973,montana,206.34214216
1983,107.79241832,montana,229.22292524
1984,122.65664326,montana,202.10747041
1985,117.41651741,montana,185.27980376
1986,129.89653045,montana,237.77851098
1987,105.85922892,montana,178.36322669
1988,116.58145913,montana,187.96029704
1989,160.56543008,montana,237.55381909
1990,113.09254672,montana,166.8804131
1991,102.81969098,montana,183.25676896
1992,98.984397959,montana,147.34423504
1993,116.6752602,montana,252.67233722
1994,89.799413677,montana,130.61657249
1995,142.00541836,montana,215.36631709
1996,110.54528791,montana,184.47777529
1997,114.13462035,montana,226.83836793
1998,161.41667475,montana,213.46831245
1999,148.31122131,montana,207.40081539
2000,108.61468276,montana,176.57564826
2001,123.63822348,montana,338.58222533
2002,115.56501712,montana,208.31601533
2003,121.96687165,montana,165.81015905
2004,78.974067104,montana,111.05035887
2005,83.842770357,montana,152.67089122
2006,159.96407223,montana,346.66458218
2007,105.51936349,montana,172.15760566
2008,97.696660726,montana,175.3926521
2009,85.207417951,montana,144.63773091
2010,132.35944954,montana,214.88190728
1980,54.865318287,ninilchik,63.036878365
1981,58.683249137,ninilchik,95.293666511
1982,31.627108684,ninilchik,39.269179732
1983,32.169174721,ninilchik,63.147736388
1984,39.116839627,ninilchik,79.714862563
1985,44.878535172,ninilchik,66.055332331
1986,40.81607959,ninilchik,72.968175011
1987,29.913685434,ninilchik,33.429584458
1988,39.528642807,ninilchik,79.714718805
1989,49.043688369,ninilchik,75.630938929
1990,39.044503447,ninilchik,58.805942751
1991,39.335665559,ninilchik,59.556647836
1992,35.164936552,ninilchik,67.895796394
1993,36.78130387,ninilchik,85.921616167
1994,29.701956407,ninilchik,32.541671238
1995,47.983344794,ninilchik,68.063847505
1996,29.573069462,ninilchik,52.938100651
1997,38.027048886,ninilchik,75.344251389
1998,52.595677928,ninilchik,72.198800922
1999,42.488074985,ninilchik,76.884059578
2000,31.312512293,ninilchik,54.58711983
2001,34.819572313,ninilchik,84.795081866
2002,36.131972508,ninilchik,74.699335568
2003,42.042941594,ninilchik,64.801966149
2004,22.78516779,ninilchik,32.159867357
2005,28.86408627,ninilchik,47.69330006
2006,49.510849803,ninilchik,116.50111242
2007,27.507466444,ninilchik,37.426880845
2008,33.925280302,ninilchik,56.330857704
2009,29.963913117,ninilchik,52.363107959
2010,43.097984427,ninilchik,72.066712694
1980,126.09256721,theodore,147.20371555
1981,134.31013903,theodore,228.21933363
1982,81.774995816,theodore,101.82905663
1983,80.577784357,theodore,188.70252331
1984,92.152388801,theodore,177.96954823
1985,94.312811354,theodore,165.38687817
1986,89.570728279,theodore,169.1239068
1987,71.535670673,theodore,89.610218025
1988,91.20413359,theodore,172.89256984
1989,119.5188799,theodore,194.58292988
1990,80.795698938,theodore,135.69264313
1991,79.567122957,theodore,146.55047692
1992,76.884988001,theodore,140.30786224
1993,91.66928915,theodore,215.7800981
1994,68.392931476,theodore,94.90440371
1995,102.81218755,theodore,130.77786456
1996,77.164737163,theodore,152.32020428
1997,89.175502918,theodore,187.90924737
1998,122.80961663,theodore,191.54118492
1999,106.42227255,theodore,186.43038585
2000,76.755416601,theodore,104.71598544
2001,74.789466144,theodore,172.78849296
2002,81.167248509,theodore,171.1276496
2003,92.11153117,theodore,139.19516125
2004,60.484748279,theodore,76.611404115
2005,70.063636534,theodore,134.31472774
2006,122.94948386,theodore,296.85731394
2007,75.430316047,theodore,117.14603616
2008,69.540845672,theodore,101.69995918
2009,67.613296345,theodore,122.8335781
2010,94.981030704,theodore,152.15900882
1980,118.92359268,willow,135.5977382
1981,135.82909175,willow,209.2564589
1982,83.244192308,willow,130.49275018
1983,74.204441845,willow,164.83025079
1984,85.854778746,willow,147.75237357
1985,85.082173689,willow,139.75693802
1986,86.960227637,willow,145.77523805
1987,71.625365737,willow,108.16725088
1988,81.093800441,willow,143.53735494
1989,117.05915071,willow,171.19120549
1990,73.37933916,willow,112.70452154
1991,74.779171452,willow,122.9894404
1992,69.630805836,willow,115.69821568
1993,83.193016966,willow,187.20846578
1994,59.799308089,willow,74.535701827
1995,100.29261172,willow,145.04268019
1996,72.653547247,willow,128.20307477
1997,86.92703484,willow,173.3675791
1998,110.31296147,willow,152.64801421
1999,104.21713338,willow,160.50058788
2000,75.184522964,willow,116.83523635
2001,84.36171304,willow,231.97478635
2002,78.279389931,willow,154.0891166
2003,81.365546227,willow,117.86710384
2004,55.749348461,willow,75.088648137
2005,61.668623554,willow,120.92669967
2006,114.75199558,willow,265.37138344
2007,71.290397685,willow,105.11465984
2008,66.796552895,willow,126.17735429
2009,64.432373423,willow,112.26952805
2010,91.876175834,willow,147.89798863
