"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"cov.eff[6,5,3]",0.0730678874654733,0.0400892357732659,-0.00431422138139421,0.0493907858349447,0.0723038012322075,0.095783030790792,0.155392311891623,1.00112297390284,8900
"cov.eff[7,5,3]",0.0187263572330148,0.00995888198830499,-0.00252420764026391,0.0126401006951271,0.0190943766160854,0.0254193572772798,0.0370117440269796,1.00192455074126,2000
"cov.eff[8,5,3]",-0.178087831491591,0.0908156196029313,-0.355269195759992,-0.235226244939331,-0.17916811347062,-0.123112477814616,0.00560250734751115,1.00137614194948,4200
"cov.eff[9,5,3]",-0.254414196730116,0.118208278562784,-0.488403482763586,-0.33006110604243,-0.253400526146812,-0.179203374951013,-0.0207322247333658,1.00203680456702,1800
"cov.eff[10,5,3]",0.0658906916315074,0.0295503628920202,0.0079554497827235,0.0468398044884935,0.0653421246607914,0.0847911506986726,0.126058019780222,1.00128540032993,5200
"cov.eff[11,5,3]",0.0321758677249161,0.0167673397178001,-0.00262693102022156,0.0221321389640408,0.0323599366966378,0.0428594400285976,0.0639593890193361,1.00209942599717,1700
"cov.eff[12,5,3]",0.0927512969229473,0.0441293103638601,0.00753734019555241,0.0645806986721503,0.0917892383727135,0.120239680981748,0.182847342369002,1.00163708380506,2700
"cov.eff[13,5,3]",0.115451979510524,0.0542749684834746,0.0147423223061711,0.0805711534462644,0.113112653369091,0.147393435334516,0.231313203631079,1.00137925598819,4200
"cov.eff[14,5,3]",-0.0897272062592869,0.0434301731837571,-0.177195167742959,-0.116434898801697,-0.0893291898382151,-0.0627087627946934,-0.00385607877047948,1.0012611830232,5500
"cov.eff[15,5,3]",0.0336273405041286,0.0185084115015412,-0.00568524976234559,0.0223598529581502,0.0342004709636041,0.0460600064085844,0.0676142784875383,1.00234168266568,1400
"cov.eff[1,6,3]",0.0818923806924545,0.0390983386822408,0.0147259721981155,0.0565771314375357,0.0785605534671628,0.103127076004137,0.169786628553165,1.00132527781579,4700
"cov.eff[2,6,3]",0.0619398476713026,0.0290968777467821,0.0073668022823762,0.0437179138257493,0.0609406864473634,0.0791780846872417,0.1237947397652,1.00302462444184,1000
"cov.eff[3,6,3]",0.0663802886921001,0.0352021846545667,-0.00712221679379973,0.0448659192897233,0.067250684221816,0.0893857592987677,0.132816938463527,1.00168340285638,2600
"cov.eff[4,6,3]",-0.219521316818202,0.0944613285244718,-0.420356665244013,-0.276085624244039,-0.214590682386049,-0.156646427691616,-0.0486300070814605,1.00144518342484,3700
"cov.eff[5,6,3]",0.0921514111816799,0.0486520761299908,-0.0075455181028025,0.0626760816036716,0.092939451298532,0.122824016137599,0.185373825612495,1.00149081711055,3400
"cov.eff[6,6,3]",0.182756210194865,0.100270543650143,-0.0107906602606764,0.123535429185714,0.180845090151608,0.239570956756822,0.388664719890128,1.00112297390284,8900
"cov.eff[7,6,3]",0.0198396628592202,0.0105509501204214,-0.00267427497758149,0.0133915706710858,0.020229561460156,0.026930570222712,0.0392121390289644,1.00192455074126,2000
"cov.eff[8,6,3]",0.0956881322283879,0.0487960179209582,-0.0030102756566188,0.066149399189274,0.0962685770796022,0.126389095991686,0.190889211777281,1.00137614194948,4200
"cov.eff[9,6,3]",0.0317621404023596,0.0147576196167041,0.00258829829977207,0.0223725044786268,0.0316355894952071,0.0412062193313788,0.0609743488842897,1.00203680456702,1800
"cov.eff[10,6,3]",0.00599521282893905,0.00268870625460744,0.000723844497855564,0.00426182499866391,0.00594530022885949,0.00771491362227725,0.0114696725541072,1.00128540032993,5200
"cov.eff[11,6,3]",0.101400653111051,0.0528414404502038,-0.00827864296949087,0.0697483394973187,0.101980737356474,0.13506940195146,0.20156484588362,1.00209942599717,1700
"cov.eff[12,6,3]",-0.234011231720882,0.111338111873723,-0.461323272279484,-0.303364338631728,-0.231583961010966,-0.162936900539728,-0.0190166857130399,1.00163708380506,2700
"cov.eff[13,6,3]",-0.18963051307801,0.0891469350672845,-0.379933212685032,-0.242094530430005,-0.185788156989034,-0.132338563895386,-0.0242143456936206,1.00137925598819,4200
"cov.eff[14,6,3]",0.0160143526379948,0.00775134028450693,0.000688226100029191,0.0111921487668368,0.0159433153730616,0.0207810942356921,0.0316254792753083,1.0012611830232,5500
"cov.eff[15,6,3]",0.0939573863181232,0.051713931090435,-0.0158850268926304,0.0624751559567255,0.0955587570832305,0.128695214996716,0.188919515764109,1.00234168266568,1400
"cov.eff[1,7,3]",0.0425437705203898,0.020311911005159,0.00765026461056335,0.0293922887114482,0.0408128586615842,0.053575370734863,0.0882055607801139,1.00132527781579,4700
"cov.eff[2,7,3]",0.147148236703481,0.0691243910824056,0.0175010434598966,0.103859053156733,0.144774565830647,0.188100487574892,0.294094647540687,1.00302462444184,1000
"cov.eff[3,7,3]",-0.112212917002432,0.0595077228914986,-0.224521109895361,-0.151102638855888,-0.113684281819604,-0.0758438352211427,0.0120397897885474,1.00168340285638,2600
"cov.eff[4,7,3]",0.0802831779341828,0.0345463290570086,0.017784931176842,0.0572886187519321,0.0784799498596501,0.100969835720374,0.153732536961561,1.00144518342484,3700
"cov.eff[5,7,3]",0.0288238222155471,0.015217767962591,-0.00236014478270529,0.0196043035059945,0.0290703114221212,0.0384178338622497,0.0579826410073753,1.00149081711055,3400
"cov.eff[7,7,3]",-0.0174501714321799,0.0092801923944069,-0.0344894241970399,-0.0236870490434914,-0.0177931105978188,-0.0117786882576988,0.00235218497142446,1.00192455074126,2000
"cov.eff[8,7,3]",0.0538657825282696,0.027468774114039,-0.00169457643381053,0.0372375243212034,0.0541925327259904,0.0711482960330265,0.107457388174804,1.00137614194948,4200
"cov.eff[9,7,3]",0.0243349616397076,0.0113067350851208,0.00198305715670202,0.0171409744864399,0.0242380030773433,0.0315706609832878,0.0467162610047246,1.00203680456702,1800
"cov.eff[10,7,3]",0.0986481003326619,0.0442412591408382,0.0119104836954283,0.0701261076235794,0.0978268145299719,0.12694487998734,0.188727479938452,1.00128540032993,5200
"cov.eff[11,7,3]",0.0366281337010629,0.0190874840189357,-0.00299042690797847,0.0251946257361581,0.0368376728178967,0.0487900221725646,0.072809630884466,1.00209942599717,1700
"cov.eff[12,7,3]",0.0913723808879071,0.043473248231095,0.00742528398068531,0.0636205896072916,0.0904246250806599,0.118452100326228,0.18012898542175,1.00163708380506,2700
"cov.eff[13,7,3]",-0.161615737648703,0.0759769482039702,-0.323804357371924,-0.206329063192831,-0.158341026192465,-0.112787727439857,-0.0206370761616054,1.00137925598819,4200
"cov.eff[14,7,3]",0.0455442168512485,0.0220445203615551,0.00195728915498286,0.0318300503299066,0.0453421895403872,0.059100650751943,0.0899416741156295,1.0012611830232,5500
