"","Year","Covar","value","mean","sd","std"
"127",2007,"NPGO",-0.44966,0.138233913043478,1.06366203117652,-0.552707435079923
"128",2008,"NPGO",0.85048,0.138233913043478,1.06366203117652,0.669616914095073
"129",2009,"NPGO",0.87646,0.138233913043478,1.06366203117652,0.694041965698413
"130",2010,"NPGO",1.53456,0.138233913043478,1.06366203117652,1.31275353075453
"131",2011,"NPGO",0.76838,0.138233913043478,1.06366203117652,0.59243074255411
"132",2012,"NPGO",0.66392,0.138233913043478,1.06366203117652,0.49422285608433
"133",2013,"NPGO",1.13574,0.138233913043478,1.06366203117652,0.937803604640445
"134",2014,"NPGO",-0.6733,0.138233913043478,1.06366203117652,-0.762962190298204
"135",2015,"NPGO",-0.65306,0.138233913043478,1.06366203117652,-0.743933589664963
"136",2016,"NPGO",-0.3443,0.138233913043478,1.06366203117652,-0.453653415182776
"137",2017,"NPGO",-0.4428,0.138233913043478,1.06366203117652,-0.546258018066878
"138",2018,"NPGO",NA,0.138233913043478,1.06366203117652,NA
"139",1950,"MEI",-1.09408333333333,0.208311594202899,0.779767929118876,-1.67023402592091
"140",1951,"MEI",0.0194166666666668,0.208311594202899,0.779767929118876,-0.24224505841075
"141",1952,"MEI",-0.0571666666666667,0.208311594202899,0.779767929118876,-0.340458040085787
"142",1953,"MEI",0.336583333333333,0.208311594202899,0.779767929118876,0.164499890724384
"143",1954,"MEI",-0.921083333333333,0.208311594202899,0.779767929118876,-1.44837314457447
"144",1955,"MEI",-1.61225,0.208311594202899,0.779767929118876,-2.33474797592676
"145",1956,"MEI",-1.27825,0.208311594202899,0.779767929118876,-1.90641540731572
"146",1957,"MEI",0.62725,0.208311594202899,0.779767929118876,0.53726036959547
"147",1958,"MEI",0.793666666666667,0.208311594202899,0.779767929118876,0.750678568077568
"148",1959,"MEI",0.13975,0.208311594202899,0.779767929118876,-0.087925639979028
"149",1960,"MEI",-0.27225,0.208311594202899,0.779767929118876,-0.616287970121988
"150",1961,"MEI",-0.271583333333333,0.208311594202899,0.779767929118876,-0.615433014895219
"151",1962,"MEI",-0.753583333333333,0.208311594202899,0.779767929118876,-1.23356564384888
"152",1963,"MEI",0.0515833333333333,0.208311594202899,0.779767929118876,-0.200993468719168
"153",1964,"MEI",-0.775916666666667,0.208311594202899,0.779767929118876,-1.26220664394562
"154",1965,"MEI",0.699166666666667,0.208311594202899,0.779767929118876,0.629488664683127
"155",1966,"MEI",0.261166666666667,0.208311594202899,0.779767929118876,0.0677830806961935
"156",1967,"MEI",-0.5875,0.208311594202899,0.779767929118876,-1.02057492298016
"157",1968,"MEI",-0.313583333333333,0.208311594202899,0.779767929118876,-0.669295194181638
"158",1969,"MEI",0.552416666666667,0.208311594202899,0.779767929118876,0.441291645390701
"159",1970,"MEI",-0.5255,0.208311594202899,0.779767929118876,-0.941064086890689
"160",1971,"MEI",-1.39908333333333,0.208311594202899,0.779767929118876,-2.06137604216752
"161",1972,"MEI",0.86525,0.208311594202899,0.779767929118876,0.84247938555184
"162",1973,"MEI",-0.442916666666667,0.208311594202899,0.779767929118876,-0.835156508174736
"163",1974,"MEI",-1.16766666666667,0.208311594202899,0.779767929118876,-1.76459970907549
"164",1975,"MEI",-1.28625,0.208311594202899,0.779767929118876,-1.91667487003694
"165",1976,"MEI",-0.0973333333333332,0.208311594202899,0.779767929118876,-0.391969092498591
"166",1977,"MEI",0.628333333333333,0.208311594202899,0.779767929118876,0.538649671838968
"167",1978,"MEI",0.124,0.208311594202899,0.779767929118876,-0.108123957211435
"168",1979,"MEI",0.530916666666667,0.208311594202899,0.779767929118876,0.413719339327416
"169",1980,"MEI",0.566083333333333,0.208311594202899,0.779767929118876,0.458818227539456
"170",1981,"MEI",0.0835,0.208311594202899,0.779767929118876,-0.160062487237624
"171",1982,"MEI",1.10683333333333,0.208311594202899,0.779767929118876,1.15229378585209
"172",1983,"MEI",1.62166666666667,0.208311594202899,0.779767929118876,1.8125329597241
"173",1984,"MEI",-0.112416666666667,0.208311594202899,0.779767929118876,-0.41131245450423
"174",1985,"MEI",-0.384666666666667,0.208311594202899,0.779767929118876,-0.760454795235834
"175",1986,"MEI",0.457333333333333,0.208311594202899,0.779767929118876,0.319353656172837
"176",1987,"MEI",1.68175,0.208311594202899,0.779767929118876,1.88958579953661
"177",1988,"MEI",-0.468333333333333,0.208311594202899,0.779767929118876,-0.867751676195286
"178",1989,"MEI",-0.5215,0.208311594202899,0.779767929118876,-0.935934355530078
"179",1990,"MEI",0.43075,0.208311594202899,0.779767929118876,0.285262316505442
"180",1991,"MEI",0.810916666666667,0.208311594202899,0.779767929118876,0.772800534570204
"181",1992,"MEI",1.316,0.208311594202899,0.779767929118876,1.42053598825072
"182",1993,"MEI",1.12683333333333,0.208311594202899,0.779767929118876,1.17794244265514
"183",1994,"MEI",0.765833333333333,0.208311594202899,0.779767929118876,0.714984187359981
"184",1995,"MEI",0.235083333333333,0.208311594202899,0.779767929118876,0.0343329574488734
"185",1996,"MEI",-0.291916666666667,0.208311594202899,0.779767929118876,-0.641509149311661
"186",1997,"MEI",1.5705,0.208311594202899,0.779767929118876,1.74691514606961
"187",1998,"MEI",0.911916666666667,0.208311594202899,0.779767929118876,0.902326251425639
"188",1999,"MEI",-0.853666666666667,0.208311594202899,0.779767929118876,-1.36191579726751
"189",2000,"MEI",-0.475666666666667,0.208311594202899,0.779767929118876,-0.877156183689741
"190",2001,"MEI",-0.106666666666667,0.208311594202899,0.779767929118876,-0.403938465673352
"191",2002,"MEI",0.658833333333333,0.208311594202899,0.779767929118876,0.577763873463629
"192",2003,"MEI",0.51925,0.208311594202899,0.779767929118876,0.398757622858966
"193",2004,"MEI",0.4785,0.208311594202899,0.779767929118876,0.346498484622738
"194",2005,"MEI",0.37275,0.208311594202899,0.779767929118876,0.210881211776578
"195",2006,"MEI",0.34925,0.208311594202899,0.779767929118876,0.180744040032987
