Year,Region,Value,Type,Area.Fished,Responses.Used,Anglers,Trips,Days.Fished,KSP,KSA,KI,KS,SS,LL,HA,SH,DV,RT,LT,DV.AC,GR,LS,RS,KO,PS,CS,SK,RF,WF,NP,BB,SM,LC,RCL,PC,BC,RC,OTHER,Population
1981,Kenai Peninsula,Estimates,Freshwater,Kasilof River,,,,8311,,,65,1242,335,0,,11,,335,151,2106,0,,443,0,0,0,,,65,0,,0,,,,,,0,Crooked/Kasilof
1981,Kenai Peninsula,Estimates,Freshwater,Kenai River - (Cook Inlet to Soldotna Bridge),,,,91763,,,1306,7431,12280,0,,0,,2938,86,9590,0,,5270,0,43,0,,,140,0,,39614,,,,,,43,Kenai
1981,Kenai Peninsula,Estimates,Freshwater,Kenai River - (Moose River to Skilak Outlet),,,,33701,,,140,605,6178,0,,0,,6491,151,10886,0,,4266,0,11,0,,,400,0,,1512,,,,,,0,Kenai
1981,Kenai Peninsula,Estimates,Freshwater,Kenai River - (Skilak Inlet to Kenai Lake),,,,17375,,,22,0,540,0,,0,,6124,486,10876,65,,4849,0,0,0,,,205,0,,0,,,,,,0,Kenai
1981,Kenai Peninsula,Estimates,Freshwater,Kenai River - (Soldotna Bridge to Moose Ruver),,,,35877,,,216,1598,3326,0,,0,,3132,0,3510,0,,5336,0,32,0,,,22,0,,0,,,,,,0,Kenai
1981,Kenai Peninsula,Estimates,Freshwater,Ninilchik River,,,,14184,,,151,1372,432,0,,302,,162,0,875,0,,0,0,0,0,,,0,0,,0,,,,,,0,Ninilchik
1981,Kenai Peninsula,Estimates,Freshwater,Other Lakes,,,,15880,,,0,0,119,4546,,0,,11048,1264,6134,1588,,194,4158,0,0,,,335,32,,0,,,,,,486,
1981,Kenai Peninsula,Estimates,Freshwater,Other Rivers,,,,11329,,,0,0,2084,0,,11,,2786,162,4838,119,,788,0,1976,140,,,32,0,,4860,,,,,,1620,
1981,Kenai Peninsula,Estimates,Freshwater,Russian River,,,,54642,,,0,0,346,0,,0,,1437,0,2905,119,,33264,0,0,0,,,0,0,,0,,,,,,0,
1981,Kenai Peninsula,Estimates,Freshwater,Stariski Creek,,,,1080,,,0,0,410,0,,86,,32,0,875,0,,0,0,0,0,,,0,0,,0,,,,,,0,
1981,Knik Arm,Estimates,Freshwater,Big Lake,,,,14568,,,0,0,0,651,,,,9810,623,,0,,134,,0,0,,,,,0,,,,,,,10,
1981,Knik Arm,Estimates,Freshwater,Cottonwood Creek,,,,8663,,,0,0,1373,0,,,,824,0,,0,,3245,,0,0,,,,,0,,,,,,,0,
1981,Knik Arm,Estimates,Freshwater,Finger Lake,,,,5267,,,0,0,0,9321,,,,0,0,,0,,0,,0,0,,,,,0,,,,,,,0,
1981,Knik Arm,Estimates,Freshwater,Freshwater Total,,,,105052,,,508,958,10484,24255,,,,41749,1791,,7396,,6080,,834,431,,,,,87,,,,,,,776,
1981,Knik Arm,Estimates,Freshwater,Kepler Lake Complex,,,,8227,,,0,0,0,2577,,,,8200,0,,671,,0,,0,0,,,,,0,,,,,,,0,
1981,Knik Arm,Estimates,Freshwater,Knik River drainage; including Jim Creek,,,,4904,,,0,0,1801,0,,,,0,0,,0,,450,,0,0,,,,,0,,,,,,,0,
1981,Knik Arm,Estimates,Freshwater,Little Susitna River,,,,26162,,,498,920,5940,0,,,,2692,0,,153,,1619,,709,278,,,,,29,,,,,,,690,Little Susitna
1981,Knik Arm,Estimates,Freshwater,Lucille Lake,,,,2844,,,0,0,0,7549,,,,0,0,,0,,0,,0,0,,,,,0,,,,,,,0,
1981,Knik Arm,Estimates,Freshwater,Nancy Lake Recreation Area; including Nancy Lake,,,,8488,,,0,0,0,354,,,,4723,354,,0,,316,,0,0,,,,,29,,,,,,,19,
1981,Knik Arm,Estimates,Freshwater,Others,,,,19081,,,10,38,556,3621,,,,13201,814,,6572,,316,,29,96,,,,,29,,,,,,,19,
1981,Knik Arm,Estimates,Freshwater,Wasilla Creek (Rabbit Slough),,,,4019,,,0,0,814,0,,,,38,0,,0,,0,,96,57,,,,,0,,,,,,,0,
1981,Knik Arm,Estimates,Freshwater,Wasilla Lake,,,,2829,,,0,0,0,182,,,,2261,0,,0,,0,,0,0,,,,,0,,,,,,,38,
1981,Susitna River,Estimates,Freshwater,Caswell Creek,,,,3860,,,77,172,901,0,,,,326,0,38,144,,38,,335,0,,,,,0,,,,,,,96,
