Component,Region,ReturnYear,zReturnYear,Age,Prop
Escapement,South,1992,-0.9235481952362184,Age1.1,0.003720449820258083
Escapement,South,1993,-0.8221526930009815,Age1.1,0.004396232618095988
Escapement,South,1994,-0.7207571907657445,Age1.1,0.00518813598887421
Escapement,South,1995,-0.6193616885305075,Age1.1,0.006114773610244332
Escapement,South,1996,-0.5179661862952706,Age1.1,0.0071974704872439154
Escapement,South,1997,-0.41657068406003356,Age1.1,0.008460598630664963
Escapement,South,1998,-0.3151751818247966,Age1.1,0.009931939486501522
Escapement,South,1999,-0.2137796795895596,Age1.1,0.011643070744934567
Escapement,South,2000,-0.11238417735432261,Age1.1,0.0136297732698625
Escapement,South,2001,-0.010988675119085634,Age1.1,0.01593245141967714
Escapement,South,2002,0.09040682711615135,Age1.1,0.0185965568646383
Escapement,South,2003,0.19180232935138833,Age1.1,0.021673002034147165
Escapement,South,2004,0.2931978315866253,Age1.1,0.025218544450357313
Escapement,South,2005,0.3945933338218623,Age1.1,0.029296117358589554
Escapement,South,2006,0.4959888360570993,Age1.1,0.03397507524889675
Escapement,South,2007,0.5973843382923363,Age1.1,0.03933131517966649
Escapement,South,2008,0.6987798405275732,Age1.1,0.04544722652280622
Escapement,South,2009,0.8001753427628102,Age1.1,0.05241141333123749
Escapement,South,2010,0.9015708449980472,Age1.1,0.060318125756363056
Escapement,South,2011,1.0029663472332842,Age1.1,0.06926633095213361
Escapement,South,2012,1.1043618494685212,Age1.1,0.07935835124460432
Escapement,South,2013,1.205757351703758,Age1.1,0.0906979999955029
Escapement,South,2014,1.3071528539389952,Age1.1,0.10338815587006614
Escapement,South,2015,1.4085483561742322,Age1.1,0.11752773661360992
Sport Harvest,North,1980,-2.140294222059062,Age1.1,3.7648309247805553e-4
Sport Harvest,North,1981,-2.0388987198238255,Age1.1,4.395352995129049e-4
Sport Harvest,North,1982,-1.9375032175885882,Age1.1,5.128110767075944e-4
Sport Harvest,North,1983,-1.8361077153533514,Age1.1,5.97906847231236e-4
Sport Harvest,North,1984,-1.7347122131181143,Age1.1,6.96657774135691e-4
Sport Harvest,North,1985,-1.6333167108828774,Age1.1,8.11171746654279e-4
Sport Harvest,North,1986,-1.5319212086476404,Age1.1,9.438679325616495e-4
Sport Harvest,North,1987,-1.4305257064124035,Age1.1,0.0010975204639414053
Sport Harvest,North,1988,-1.3291302041771664,Age1.1,0.0012753078845059212
Sport Harvest,North,1989,-1.2277347019419294,Age1.1,0.001480869051255194
Sport Harvest,North,1990,-1.1263391997066925,Age1.1,0.0017183662510757926
Sport Harvest,North,1991,-1.0249436974714554,Age1.1,0.0019925563627843897
Sport Harvest,North,1992,-0.9235481952362184,Age1.1,0.0023088709654845267
Sport Harvest,North,1993,-0.8221526930009815,Age1.1,0.002673506362584346
Sport Harvest,North,1994,-0.7207571907657445,Age1.1,0.0030935245541378648
Sport Harvest,North,1995,-0.6193616885305075,Age1.1,0.003576966243842376
Sport Harvest,North,1996,-0.5179661862952706,Age1.1,0.004132977005037764
Sport Harvest,North,1997,-0.41657068406003356,Age1.1,0.004771947744465321
Sport Harvest,North,1998,-0.3151751818247966,Age1.1,0.005505670582997137
Sport Harvest,North,1999,-0.2137796795895596,Age1.1,0.0063475112057076385
Sport Harvest,North,2000,-0.11238417735432261,Age1.1,0.007312598602565142
Sport Harvest,North,2001,-0.010988675119085634,Age1.1,0.008418032904361116
Sport Harvest,North,2002,0.09040682711615135,Age1.1,0.00968311168983053
Sport Harvest,North,2003,0.19180232935138833,Age1.1,0.011129574666910778
Sport Harvest,North,2004,0.2931978315866253,Age1.1,0.012781865974808812
Sport Harvest,North,2005,0.3945933338218623,Age1.1,0.014667412467998932
Sport Harvest,North,2006,0.4959888360570993,Age1.1,0.016816915175336754
Sport Harvest,North,2007,0.5973843382923363,Age1.1,0.01926464961756465
Sport Harvest,North,2008,0.6987798405275732,Age1.1,0.022048768750340998
Sport Harvest,North,2009,0.8001753427628102,Age1.1,0.025211599912075364
Sport Harvest,North,2010,0.9015708449980472,Age1.1,0.028799924235464635
Sport Harvest,North,2011,1.0029663472332842,Age1.1,0.032865223481616405
Sport Harvest,North,2012,1.1043618494685212,Age1.1,0.037463875156029135
Sport Harvest,North,2013,1.205757351703758,Age1.1,0.0426572720921605
Sport Harvest,North,2014,1.3071528539389952,Age1.1,0.04851183753684997
Sport Harvest,North,2015,1.4085483561742322,Age1.1,0.05509890133972705
Sport Harvest,Kenai,1980,-2.140294222059062,Age1.1,0.002775286697993583
Sport Harvest,Kenai,1981,-2.0388987198238255,Age1.1,0.003014524090700258
Sport Harvest,Kenai,1982,-1.9375032175885882,Age1.1,0.003273186200608673
Sport Harvest,Kenai,1983,-1.8361077153533514,Age1.1,0.003552707412156039
Sport Harvest,Kenai,1984,-1.7347122131181143,Age1.1,0.0038546110514592917
Sport Harvest,Kenai,1985,-1.6333167108828774,Age1.1,0.00418051289873144
Sport Harvest,Kenai,1986,-1.5319212086476404,Age1.1,0.004532124596765913
Sport Harvest,Kenai,1987,-1.4305257064124035,Age1.1,0.00491125691888613
Sport Harvest,Kenai,1988,-1.3291302041771664,Age1.1,0.005319822856574463
Sport Harvest,Kenai,1989,-1.2277347019419294,Age1.1,0.005759840483889352
Sport Harvest,Kenai,1990,-1.1263391997066925,Age1.1,0.006233435552813292
Sport Harvest,Kenai,1991,-1.0249436974714554,Age1.1,0.006742843770917938
Sport Harvest,Kenai,1992,-0.9235481952362184,Age1.1,0.007290412710260333
Sport Harvest,Kenai,1993,-0.8221526930009815,Age1.1,0.007878603294320202
Sport Harvest,Kenai,1994,-0.7207571907657445,Age1.1,0.008509990808137267
Sport Harvest,Kenai,1995,-0.6193616885305075,Age1.1,0.009187265375701833
Sport Harvest,Kenai,1996,-0.5179661862952706,Age1.1,0.00991323184818225
Sport Harvest,Kenai,1997,-0.41657068406003356,Age1.1,0.010690809046831909
Sport Harvest,Kenai,1998,-0.3151751818247966,Age1.1,0.011523028305494148
Sport Harvest,Kenai,1999,-0.2137796795895596,Age1.1,0.012413031259599317
Sport Harvest,Kenai,2000,-0.11238417735432261,Age1.1,0.013364066831498088
Sport Harvest,Kenai,2001,-0.010988675119085634,Age1.1,0.014379487365960595
Sport Harvest,Kenai,2002,0.09040682711615135,Age1.1,0.015462743874738574
