SamplingSite,Population,Fishery,Component,Gear,Mesh,ReturnYear,n,Age0.1,Age0.2,Age1.1,Age0.3,Age1.2,Age2.1,Age0.4,Age1.3,Age2.2,Age0.5,Age1.4,Age2.3,Age1.5,Age2.4,Age2.5,Age1.6,SumProportions,FWAgeAssumed,Comments,Reference,Page
Deshka,Deshka,,Escapement,Weir,,2006,488,0,0,0,0,0.228,0,0,0.553,0,0,0.219,0,0,0,0,0,1,,,Lescanec 2018; table 5,
Deshka,Deshka,,Escapement,Weir,,2007,232,0,0,0,0,0.099,0,0,0.712,0,0,0.189,0,0,0,0,0,1,,,Lescanec 2018; table 5,
Deshka,Deshka,,Escapement,Weir,,2008,266,0,0,0,0,0.157,0,0,0.38,0,0,0.464,0,0,0,0,0,1,,,Lescanec 2018; table 5,
Deshka,Deshka,,Escapement,Weir,,2009,386,0,0,0,0,0.668,0,0,0.241,0,0,0.091,0,0,0,0,0,1,,,Lescanec 2018; table 5,
Deshka,Deshka,,Escapement,Weir,,2010,336,0,0,0.009,0,0.208,0,0,0.696,0,0,0.086,0,0,0,0,0,1,,,Lescanec 2018; table 5,
Deshka,Deshka,,Escapement,Weir,,2011,348,0,0,0.023,0,0.267,0,0,0.641,0,0,0.069,0,0,0,0,0,1,,,Lescanec 2018; table 5,
Deshka,Deshka,,Escapement,Weir,,2012,289,0,0,0.042,0,0.547,0,0,0.26,0,0,0.152,0,0,0,0,0,1,,,Lescanec 2018; table 5,
Deshka,Deshka,,Escapement,Weir,,2013,250,0,0,0.039,0,0.214,0,0,0.583,0,0,0.164,0,0,0,0,0,1,,,Lescanec 2018; table 5,
Deshka,Deshka,,Escapement,Weir,,2014,242,0,0,0.087,0,0.397,0,0,0.397,0,0,0.12,0,0,0,0,0,1,,,Lescanec 2018; table 5,
Deshka,Deshka,,Escapement,Weir,,2015,336,0,0,0.11,0,0.271,0,0,0.491,0,0,0.128,0,0,0,0,0,1,,,Daryl Lescanec; ADFG; pers. comm. 12/19/17,
Kalifornsky Beach,,ESSN,Commercial Harvest,Gill Net,< 6 in,1983,308,0,0,0.019,0,0.136,0,0.003,0.214,0.003,0,0.556,0.01,0.033,0.026,0,0,1,,Proportions don't add to 1.0; but these data match the original source (no data entry error),Tobias and Willette 2010,58
Kalifornsky Beach,,ESSN,Commercial Harvest,Gill Net,< 6 in,1984,287,0,0,0.042,0.011,0.192,0,0.017,0.223,0,0,0.446,0,0.066,0.003,0,0,1,,Proportions don't add to 1.0; but these data match the original source (no data entry error),Tobias and Willette 2010,58
Kalifornsky Beach,,ESSN,Commercial Harvest,Gill Net,< 6 in,1985,664,0,0,0.061,0,0.286,0,0,0.207,0.004,0,0.415,0,0.032,0,0,0,1.01,,,Tobias and Willette 2010,58
Kalifornsky Beach,,ESSN,Commercial Harvest,Gill Net,< 6 in,1986,437,0,0.002,0.018,0.002,0.235,0.002,0.002,0.354,0,0,0.354,0.004,0.025,0.002,0,0,1,,,Tobias and Willette 2010,58
Kenai,Kenai.Late,,Escapement,Gill Net,7.5 in,1986,1650,0,0,0,0,0.1214,0,0,0.4378,0,0,0.3965,0,0.0443,0,0,0,1,,,J. Perschbacher; ADFG-SF; pers. comm. 1-12-18,
Kenai,Kenai.Late,,Escapement,Gill Net,7.5 in,1987,962,0,0,0.0042,0,0.0187,0,0,0.2786,0,0,0.6881,0,0.0104,0,0,0,1,,,J. Perschbacher; ADFG-SF; pers. comm. 1-12-18,
Kenai,Kenai.Late,,Escapement,Gill Net,7.5 in,1988,942,0,0,0,0,0.0128,0,0,0.0384,0,0,0.7769,0,0.1718,0,0,0,1,,,J. Perschbacher; ADFG-SF; pers. comm. 1-12-18,
Kenai,Kenai.Late,,Escapement,Gill Net,7.5 in,1989,664,0,0,0.0049,0,0.1029,0,0,0.1225,0,0,0.6487,0,0.1209,0,0,0,1,,,J. Perschbacher; ADFG-SF; pers. comm. 1-12-18,
Kenai,Kenai.Late,,Escapement,Gill Net,7.5 in,1990,528,0,0,0,0,0.1229,0,0,0.1456,0,0,0.6862,0,0.0454,0,0,0,1,,,J. Perschbacher; ADFG-SF; pers. comm. 1-12-18,
Kenai,Kenai.Late,,Escapement,Gill Net,7.5 in,1991,363,0,0,0.0062,0,0.0745,0,0,0.1584,0,0,0.6957,0,0.0652,0,0,0,1,,,J. Perschbacher; ADFG-SF; pers. comm. 1-12-18,
Kenai,Kenai.Late,,Escapement,Gill Net,7.5 in,1992,341,0,0,0,0,0.0674,0,0,0.1584,0,0,0.7507,0,0.0235,0,0,0,1,,,J. Perschbacher; ADFG-SF; pers. comm. 1-12-18,
Kenai,Kenai.Late,,Escapement,Gill Net,7.5 in,1993,350,0,0,0.0057,0,0.08,0,0,0.14,0,0,0.7171,0,0.0571,0,0,0,1,,,J. Perschbacher; ADFG-SF; pers. comm. 1-12-18,
