Group,ReturnYear,Component,Gear,Mesh,n,Age,Prop,GroupType,StockRecruit,Region,HatcheryWild,ReportingGroup_ESSN,ReportingGroup_NSN,ReportingGroup_MS,GearMesh
Deshka,2008,Escapement,Weir,NA,266,Age1.1,0,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2009,Escapement,Weir,NA,386,Age1.1,0,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2010,Escapement,Weir,NA,336,Age1.1,0.009009009009009009,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2011,Escapement,Weir,NA,348,Age1.1,0.023,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2012,Escapement,Weir,NA,289,Age1.1,0.04195804195804195,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2013,Escapement,Weir,NA,250,Age1.1,0.039,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2014,Escapement,Weir,NA,242,Age1.1,0.08691308691308691,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2015,Escapement,Weir,NA,336,Age1.1,0.11,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
ESSN,1983,Commercial Harvest,Gill Net,< 6 in,857,Age1.1,0.013299794592187782,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1984,Commercial Harvest,Gill Net,< 6 in,794,Age1.1,0.03045345157071729,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1985,Commercial Harvest,Gill Net,< 6 in,2370,Age1.1,0.06672699886233552,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1986,Commercial Harvest,Gill Net,< 6 in,1324,Age1.1,0.010125596738172803,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1987,Commercial Harvest,Gill Net,< 6 in,1212,Age1.1,0.02073895097150911,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1988,Commercial Harvest,Gill Net,< 6 in,870,Age1.1,0.03265388905790488,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1989,Commercial Harvest,Gill Net,< 6 in,854,Age1.1,0.009420725596311887,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1990,Commercial Harvest,Gill Net,< 6 in,429,Age1.1,0.012082074783876679,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1991,Commercial Harvest,Gill Net,< 6 in,446,Age1.1,0.006823505448620023,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1992,Commercial Harvest,Gill Net,< 6 in,688,Age1.1,0.025002540908628926,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1993,Commercial Harvest,Gill Net,< 6 in,992,Age1.1,0.033772819472616636,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1994,Commercial Harvest,Gill Net,< 6 in,1502,Age1.1,0.03617915342830788,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1995,Commercial Harvest,Gill Net,< 6 in,1508,Age1.1,0.02762878251189151,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1996,Commercial Harvest,Gill Net,< 6 in,2186,Age1.1,0.03323788095725097,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1997,Commercial Harvest,Gill Net,< 6 in,1691,Age1.1,0.06554345592767619,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1998,Commercial Harvest,Gill Net,< 6 in,911,Age1.1,0.1220906068162926,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,1999,Commercial Harvest,Gill Net,< 6 in,1818,Age1.1,0.023344737371704567,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2000,Commercial Harvest,Gill Net,< 6 in,991,Age1.1,0.09301616346447088,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2001,Commercial Harvest,Gill Net,< 6 in,989,Age1.1,0.1168,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2002,Commercial Harvest,Gill Net,< 6 in,1224,Age1.1,0.10616987179487178,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2003,Commercial Harvest,Gill Net,< 6 in,678,Age1.1,0.03841524573721163,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2004,Commercial Harvest,Gill Net,< 6 in,1409,Age1.1,0.03543543543543544,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2005,Commercial Harvest,Gill Net,< 6 in,482,Age1.1,0.029245663574021787,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2006,Commercial Harvest,Gill Net,< 6 in,560,Age1.1,0.12884480512974653,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2007,Commercial Harvest,Gill Net,< 6 in,789,Age1.1,0.04832080200501253,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2008,Commercial Harvest,Gill Net,< 6 in,380,Age1.1,0.10268973102689731,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2009,Commercial Harvest,Gill Net,< 6 in,487,Age1.1,0.1376,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2010,Commercial Harvest,Gill Net,< 6 in,760,Age1.1,0.1832129963898917,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2011,Commercial Harvest,Gill Net,< 6 in,1187,Age1.1,0.045641076969272346,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2012,Commercial Harvest,Gill Net,< 6 in,167,Age1.1,0.096,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2013,Commercial Harvest,Gill Net,< 6 in,664,Age1.1,0.2272272272272272,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2014,Commercial Harvest,Gill Net,< 6 in,459,Age1.1,0.17617617617617617,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
ESSN,2015,Commercial Harvest,Gill Net,< 6 in,631,Age1.1,0.142,Fishery,FALSE,Kenai,Wild,NA,NA,NA,< 6 in Gill Net
Kenai.Late,1986,Escapement,Gill Net,7.5 in,1650,Age1.1,0,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,7.5 in Gill Net
Kenai.Late,1986,Sport Harvest,Angling,NA,524,Age1.1,0.0041,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,Angling
Kenai.Late,1987,Escapement,Gill Net,7.5 in,962,Age1.1,0.022614787945262466,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,7.5 in Gill Net
Kenai.Late,1987,Sport Harvest,Angling,NA,438,Age1.1,0.0041,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,Angling
Kenai.Late,1988,Escapement,Gill Net,7.5 in,942,Age1.1,0,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,7.5 in Gill Net
Kenai.Late,1988,Sport Harvest,Angling,NA,426,Age1.1,0.0071992800719928,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,Angling
Kenai.Late,1989,Escapement,Gill Net,7.5 in,664,Age1.1,0.026386557925265404,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,7.5 in Gill Net
Kenai.Late,1989,Sport Harvest,Angling,NA,104,Age1.1,0.0099,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,Angling
Kenai.Late,1990,Escapement,Gill Net,7.5 in,528,Age1.1,0,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,7.5 in Gill Net
Kenai.Late,1990,Sport Harvest,Angling,NA,341,Age1.1,0.0058994100589941,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,Angling
Kenai.Late,1991,Escapement,Gill Net,7.5 in,363,Age1.1,0.03338373458586364,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,7.5 in Gill Net
Kenai.Late,1991,Sport Harvest,Angling,NA,472,Age1.1,0.009,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,Angling
Kenai.Late,1992,Escapement,Gill Net,7.5 in,341,Age1.1,0,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,7.5 in Gill Net
Kenai.Late,1992,Sport Harvest,Angling,NA,402,Age1.1,0.005,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,Angling
Kenai.Late,1993,Escapement,Gill Net,7.5 in,350,Age1.1,0.030694567382451597,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,7.5 in Gill Net
Kenai.Late,1993,Sport Harvest,Angling,NA,689,Age1.1,0.010198980101989802,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,Angling
Kenai.Late,1994,Escapement,Gill Net,7.5 in,414,Age1.1,0.03876820790616423,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,7.5 in Gill Net
Kenai.Late,1994,Sport Harvest,Angling,NA,434,Age1.1,0.0046004600460046,Population,TRUE,Kenai,Wild,Kenai River mainstem,Kenai Peninsula,Kenai,Angling
