Area.Fished,Region.SWHS,ChinookHarvestTotal,ReportingGroup_ESSN,ReportingGroup_NSN,ReportingGroup_MS,Population,Comments
Eklutna Power Plant Raceway,Knik Arm,9875,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Fish Creek,Knik Arm,44,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Fish Creek (Big Lake drainage),Knik Arm,25,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Knik River drainage; including Jim Creek,Knik Arm,29,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Little Susitna River,Knik Arm,25113,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,LittleSusitna,
Little Susitna River (reach unspecified),Knik Arm,54270,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,LittleSusitna,
Little Susitna River above weir,Knik Arm,966,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,LittleSusitna,
Little Susitna River below weir,Knik Arm,2036,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,LittleSusitna,
Other lakes,Knik Arm,250,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Other Lakes,Knik Arm,59,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Other streams,Knik Arm,268,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Other Streams,Knik Arm,20,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Others,Knik Arm,247,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
Wasilla Creek (Rabbit Slough),Knik Arm,143,Cook Inlet other_ESSN,Knik/Turnagain,Cook Inlet other_MS,,
196 Mile Creek,Susitna River,178,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Alexander Creek,Susitna River,11003,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,Alexander,
Alexander Creek/Lake,Susitna River,12812,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,Alexander,
Birch Creek,Susitna River,2490,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Caswell Creek,Susitna River,9691,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Chulitna River drainage,Susitna River,255,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,Chulitna,
Clear (Chunilna) Creek,Susitna River,3880,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Clear Creek (Chunilna Creek),Susitna River,7032,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Deshka River (Kroto Creek) above weir,Susitna River,16782,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,Deshka,
Deshka River (Kroto Creek) below weir,Susitna River,70783,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,Deshka,
Deshka River (reach unspecified),Susitna River,2205,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,Deshka,
Fish Lake Creek and Fish Lakes,Susitna River,9267,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Goose Creek,Susitna River,8553,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Indian River,Susitna River,138,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Kashwitna River,Susitna River,4170,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Lake Creek (Yentna drainage),Susitna River,63763,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Lakes - West Susitna drainage,Susitna River,203,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Little Willow Creek,Susitna River,12932,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,LittleWillow,
Little Willow Creel,Susitna River,6383,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,LittleWillow,
Montana Creek,Susitna River,51470,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,Montana,
Other lakes - Chulitna/East Susitna drainage,Susitna River,183,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Other streams,Susitna River,552,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Other Streams,Susitna River,1476,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
