"","Site","Year","Max.temp"
"196","Kenai R at Skilak",1988,12.1577692846581
"197","Kenai R at Soldotna",1988,11.9941388033151
"198","Little Willow",1988,14.0053915845484
"199","Montana",1988,13.8681878737992
"200","Moose",1988,14.0078037465186
"201","NF Campbell",1988,12.604404672855
"202","Ninilchik",1988,13.9777261885772
"203","Quartz",1988,8.72056302696733
"204","Slikok",1988,11.3687471374493
"205","Soldotna",1988,13.0097292173805
"206","Theodore",1988,14.1967163878441
"207","Willow",1988,13.4043342783434
"208","Alexander",1989,18.1402209086036
"209","Anchor",1989,15.876782226429
"210","Beaver",1989,13.2833222669813
"211","Chuitna",1989,15.8784044978052
"212","Crooked",1989,12.4736590839136
"213","Deep",1989,16.585400915961
"214","Deshka",1989,18.5842112347154
"215","EF Chulitna",1989,9.9021032652072
"216","Funny",1989,11.265586893495
"217","Hidden",1989,14.6120382971937
"218","Kenai R at Cooper Landing",1989,9.93904120333597
"219","Kenai R at Skilak",1989,12.4363997009682
"220","Kenai R at Soldotna",1989,12.2397546903088
"221","Little Willow",1989,13.829677380893
"222","Montana",1989,13.7045708070997
"223","Moose",1989,14.3919624664448
"224","NF Campbell",1989,13.0360656042221
"225","Ninilchik",1989,15.7706705849413
"226","Quartz",1989,8.89053830781726
"227","Slikok",1989,11.6489460780576
"228","Soldotna",1989,13.3371275428867
"229","Theodore",1989,14.0287168701799
"230","Willow",1989,13.2488995680301
"231","Alexander",1990,19.6975285897078
"232","Anchor",1990,13.8096823208989
"233","Beaver",1990,12.8985319655454
"234","Chuitna",1990,17.3257602352993
"235","Crooked",1990,12.0834412213855
"236","Deep",1990,14.2243200348085
"237","Deshka",1990,20.2011291023879
"238","EF Chulitna",1990,10.804187238773
"239","Funny",1990,10.8902404452321
"240","Hidden",1990,14.287403867725
"241","Kenai R at Cooper Landing",1990,9.67242891834043
"242","Kenai R at Skilak",1990,12.1020432013961
"243","Kenai R at Soldotna",1990,11.9450156259163
"244","Little Willow",1990,15.0011054052621
"245","Montana",1990,14.795351251763
"246","Moose",1990,13.9309720025334
"247","NF Campbell",1990,12.7277363675313
"248","Ninilchik",1990,13.6988237269205
"249","Quartz",1990,8.68656797079734
"250","Slikok",1990,11.3127073493276
"251","Soldotna",1990,12.9442495522793
"252","Theodore",1990,15.1487136546077
"253","Willow",1990,14.2851309701189
"254","Alexander",1991,18.6463459049625
"255","Anchor",1991,12.8953881319145
"256","Beaver",1991,12.3854782302976
"257","Chuitna",1991,16.3487951124908
"258","Crooked",1991,11.5631507380148
"259","Deep",1991,13.1799957989141
"260","Deshka",1991,19.109709541709
"261","EF Chulitna",1991,10.1952805566161
"262","Funny",1991,10.3897785142149
"263","Hidden",1991,13.8545579617668
"264","Kenai R at Cooper Landing",1991,9.31694587167971
"265","Kenai R at Skilak",1991,11.6562345353
"266","Kenai R at Soldotna",1991,11.5520302067264
"267","Little Willow",1991,14.210391488813
"268","Montana",1991,14.0590744516153
"269","Moose",1991,13.3163180506514
"270","NF Campbell",1991,12.6969034438622
"271","Ninilchik",1991,12.7824299243344
"272","Quartz",1991,8.41460752143745
"273","Slikok",1991,10.8643890443543
"274","Soldotna",1991,12.4204122314694
"275","Theodore",1991,14.3927158251189
"276","Willow",1991,13.5856747737089
"277","Alexander",1992,17.6730286042724
"278","Anchor",1992,13.4916669508174
"279","Beaver",1992,12.8985319655454
"280","Chuitna",1992,15.444197776557
"281","Crooked",1992,12.0834412213855
"282","Deep",1992,13.8610768223234
"283","Deshka",1992,18.0991358744137
"284","EF Chulitna",1992,9.63147807313747
"285","Funny",1992,10.8902404452321
"286","Hidden",1992,14.287403867725
"287","Kenai R at Cooper Landing",1992,9.67242891834043
"288","Kenai R at Skilak",1992,12.1020432013961
"289","Kenai R at Soldotna",1992,11.9450156259163
"290","Little Willow",1992,13.4782489735822
"291","Montana",1992,13.3773366737007
"292","Moose",1992,13.9309720025334
"293","NF Campbell",1992,12.4194071308405
"294","Ninilchik",1992,13.3800780564558
"295","Quartz",1992,8.68656797079734
