,Site,Year,maxTemp,wksGT15,wksGT21,wksGT13
433,EF Chulitna,2005,10.33781648,0,0,0
434,EF Chulitna,2006,9.171252613,0,0,0
435,EF Chulitna,2007,9.642364944,0,0,0
436,EF Chulitna,2008,8.677706362,0,0,0
437,EF Chulitna,2009,11.03326801,0,0,0
438,EF Chulitna,2010,9.373157898,0,0,0
439,EF Chulitna,2011,9.059083011,0,0,0
440,EF Chulitna,2012,9.799402387,0,0,0
441,EF Chulitna,2013,11.14543762,0,0,0
442,EF Chulitna,2014,10.15834512,0,0,0
443,EF Chulitna,2015,10.11347727,0,0,0
444,EF Chulitna,2016,10.67432529,0,0,0
445,Fish,1980,16.67739277,2,0,6
446,Fish,1981,16.51012917,3,0,8
447,Fish,1982,15.0883885,0,0,9
448,Fish,1983,17.38826311,7,0,8
449,Fish,1984,18.30821295,9,0,8
450,Fish,1985,16.92828819,3,0,8
451,Fish,1986,17.1791836,3,0,7
452,Fish,1987,18.05731754,4,0,9
453,Fish,1988,17.3046313,3,0,9
454,Fish,1989,17.89005393,9,0,10
455,Fish,1990,17.47189491,6,0,9
456,Fish,1991,17.43007901,3,0,8
457,Fish,1992,17.05373589,7,0,8
458,Fish,1993,19.2281628,8,0,10
459,Fish,1994,18.01550164,7,0,8
460,Fish,1995,17.38826311,6,0,11
461,Fish,1996,18.26639705,7,0,9
462,Fish,1997,18.85181968,8,0,10
463,Fish,1998,17.1373677,4,0,7
464,Fish,1999,18.51729246,4,0,9
465,Fish,2000,16.92828819,3,0,7
466,Fish,2001,17.59734262,8,0,8
467,Fish,2002,18.35002885,4,0,10
468,Fish,2003,20.14811264,7,0,10
469,Fish,2004,19.85540132,10,0,9
470,Fish,2005,19.14453099,7,0,9
471,Fish,2006,17.2628154,4,0,8
472,Fish,2007,17.05373589,6,0,10
473,Fish,2008,15.67381113,2,0,9
474,Fish,2009,17.63915852,5,0,10
475,Fish,2010,16.42649736,2,0,10
476,Fish,2011,16.51012917,2,0,8
477,Fish,2012,17.1791836,5,0,9
478,Fish,2013,20.14811264,9,0,10
479,Fish,2014,18.55910836,7,0,10
480,Fish,2015,19.89721723,9,0,9
481,Fish,2016,20.52445576,13,0,11
482,Funny,1980,10.98407706,0,0,0
483,Funny,1981,11.10919254,0,0,0
484,Funny,1982,9.858037713,0,0,0
485,Funny,1983,12.57929946,0,0,0
486,Funny,1984,11.45326012,0,0,0
487,Funny,1985,10.64000948,0,0,0
488,Funny,1986,10.01443207,0,0,0
489,Funny,1987,11.67221221,0,0,0
490,Funny,1988,10.95279819,0,0,0
491,Funny,1989,11.26558689,0,0,0
492,Funny,1990,10.89024045,0,0,0
493,Funny,1991,10.38977851,0,0,0
494,Funny,1992,10.89024045,0,0,0
495,Funny,1993,12.39162624,0,0,0
496,Funny,1994,11.64093334,0,0,0
497,Funny,1995,11.0466348,0,0,0
498,Funny,1996,10.73384609,0,0,0
499,Funny,1997,12.54802059,0,0,0
500,Funny,1998,10.79640383,0,0,0
501,Funny,1999,11.92244318,0,0,0
502,Funny,2000,10.54617287,0,0,0
503,Funny,2001,11.32814463,0,0,0
504,Funny,2002,11.07791367,0,0,0
505,Funny,2003,12.36034737,0,0,0
506,Funny,2004,12.95464591,0,0,0
