Population,BroodYear,EscapeIndex,EscapementMethod,WeirRemovals,Spawners1,Spawners2.min,Spawners2.nom,Spawners2.max,Recruits1,Recruits2.min,Recruits2.nom,Recruits2.max,NumAgeClasses,CoreRecruits1,CoreRecruits2.min,CoreRecruits2.nom,CoreRecruits2.max,NumCoreAgeClasses,RecruitsPerSpawner,CoreRecruitsPerSpawner
Chulitna,2012,667,Single aerial survey,NA,667,1112,1482,2223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,2013,1262,Single aerial survey,NA,1262,2103,2804,4207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,2014,1011,Single aerial survey,NA,1011,1685,2247,3370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,2015,3137,Single aerial survey,NA,3137,5228,6971,10457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crooked,2004,2196,Weir count minus removals,445,2196,2196,2196,2196,738,738,738,738,5,738,738,738,738,3,0.3360655737704918,0.3360655737704918
Crooked,2005,1909,Weir count minus removals,199,1909,1909,1909,1909,911,911,911,911,5,911,911,911,911,3,0.47721320062860134,0.47721320062860134
Crooked,2006,1516,Weir count minus removals,73,1516,1516,1516,1516,789,789,789,789,5,789,789,789,789,3,0.5204485488126649,0.5204485488126649
Crooked,2007,965,Weir count minus removals,73,965,965,965,965,651,651,651,651,5,651,651,651,651,3,0.6746113989637306,0.6746113989637306
Crooked,2008,879,Weir count minus removals,139,879,879,879,879,958,958,958,958,5,958,958,958,958,3,1.0898748577929465,1.0898748577929465
Crooked,2009,617,Weir count minus removals,57,617,617,617,617,NA,NA,NA,NA,NA,1689,1689,1689,1689,3,NA,2.7374392220421395
Crooked,2010,1088,Weir count minus removals,2,1088,1088,1088,1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crooked,2011,654,Weir count minus removals,23,654,654,654,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crooked,2012,631,Weir count minus removals,2,631,631,631,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crooked,2013,1102,Weir count minus removals,109,1102,1102,1102,1102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crooked,2014,1411,Weir count minus removals,111,1411,1411,1411,1411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crooked,2015,1456,Weir count minus removals,183,1456,1456,1456,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deep,1980,NA,NA,NA,NA,NA,NA,NA,590,1437,1765,2421,5,580,1410,1732,2376,3,NA,NA
